Source,Target,Type,Id,Label,timeset,Weight
0,3774,directed,,,,
1,489,directed,,,,
2,489,directed,,,,
3,489,directed,,,,
4,489,directed,,,,
5,489,directed,,,,
6,489,directed,,,,
7,489,directed,,,,
8,489,directed,,,,
9,489,directed,,,,
10,489,directed,,,,
11,489,directed,,,,
12,489,directed,,,,
13,489,directed,,,,
14,489,directed,,,,
15,489,directed,,,,
16,489,directed,,,,
17,489,directed,,,,
18,489,directed,,,,
19,489,directed,,,,
20,489,directed,,,,
21,1946,directed,,,,
22,1946,directed,,,,
23,1946,directed,,,,
24,1946,directed,,,,
25,1946,directed,,,,
26,1946,directed,,,,
27,1946,directed,,,,
28,1946,directed,,,,
29,1946,directed,,,,
30,1946,directed,,,,
31,1946,directed,,,,
32,1946,directed,,,,
33,1946,directed,,,,
34,1946,directed,,,,
35,1946,directed,,,,
36,1946,directed,,,,
37,1946,directed,,,,
38,1946,directed,,,,
39,3775,directed,,,,
40,3775,directed,,,,
41,3775,directed,,,,
42,224,directed,,,,
43,224,directed,,,,
44,224,directed,,,,
45,224,directed,,,,
21,224,directed,,,,
46,224,directed,,,,
47,224,directed,,,,
22,224,directed,,,,
48,224,directed,,,,
49,224,directed,,,,
50,224,directed,,,,
51,224,directed,,,,
52,224,directed,,,,
53,224,directed,,,,
54,224,directed,,,,
55,224,directed,,,,
56,224,directed,,,,
28,224,directed,,,,
57,224,directed,,,,
58,224,directed,,,,
59,224,directed,,,,
60,224,directed,,,,
61,224,directed,,,,
62,224,directed,,,,
63,224,directed,,,,
64,224,directed,,,,
15,224,directed,,,,
65,224,directed,,,,
66,224,directed,,,,
67,224,directed,,,,
68,3132,directed,,,,
69,3132,directed,,,,
70,3132,directed,,,,
71,3132,directed,,,,
72,428,directed,,,,
73,428,directed,,,,
74,428,directed,,,,
75,428,directed,,,,
76,428,directed,,,,
77,428,directed,,,,
78,428,directed,,,,
79,428,directed,,,,
80,428,directed,,,,
81,428,directed,,,,
82,428,directed,,,,
83,428,directed,,,,
84,3143,directed,,,,
85,3143,directed,,,,
86,3143,directed,,,,
87,3143,directed,,,,
88,3143,directed,,,,
89,3143,directed,,,,
90,3776,directed,,,,
91,3591,directed,,,,
92,2321,directed,,,,
93,2814,directed,,,,
94,2814,directed,,,,
95,2814,directed,,,,
96,2814,directed,,,,
97,955,directed,,,,
98,955,directed,,,,
99,955,directed,,,,
100,955,directed,,,,
101,955,directed,,,,
64,955,directed,,,,
102,955,directed,,,,
103,955,directed,,,,
104,955,directed,,,,
105,955,directed,,,,
106,955,directed,,,,
107,585,directed,,,,
108,585,directed,,,,
54,585,directed,,,,
109,585,directed,,,,
110,585,directed,,,,
64,585,directed,,,,
111,585,directed,,,,
112,585,directed,,,,
113,3777,directed,,,,
114,3778,directed,,,,
115,3778,directed,,,,
116,3778,directed,,,,
117,3778,directed,,,,
118,3778,directed,,,,
119,3778,directed,,,,
120,3778,directed,,,,
121,3778,directed,,,,
122,3779,directed,,,,
49,3779,directed,,,,
123,3779,directed,,,,
124,3779,directed,,,,
125,3779,directed,,,,
126,3779,directed,,,,
127,3779,directed,,,,
54,3779,directed,,,,
128,3779,directed,,,,
