source,target,ÀàĞÍ
759491,74,directed
25462,335,directed
66915,335,directed
71209,335,directed
91438,335,directed
113823,335,directed
132710,335,directed
208582,335,directed
378288,335,directed
397880,335,directed
489999,335,directed
492331,335,directed
615119,335,directed
651107,335,directed
747445,335,directed
755156,335,directed
838272,335,directed
895136,335,directed
899530,335,directed
960690,335,directed
988638,335,directed
75264,441,directed
91650,441,directed
112789,441,directed
134729,441,directed
175775,441,directed
295756,441,directed
359326,441,directed
446509,441,directed
485135,441,directed
579839,441,directed
741746,441,directed
789064,441,directed
790820,441,directed
796045,441,directed
806829,441,directed
825087,441,directed
863790,441,directed
883318,441,directed
151290,589,directed
286662,589,directed
748421,589,directed
5953,1098,directed
12654,1098,directed
59537,1098,directed
61938,1098,directed
75264,1098,directed
81493,1098,directed
84209,1098,directed
91650,1098,directed
130932,1098,directed
139026,1098,directed
182598,1098,directed
187581,1098,directed
200968,1098,directed
349157,1098,directed
354105,1098,directed
379125,1098,directed
390390,1098,directed
446509,1098,directed
485791,1098,directed
490004,1098,directed
503913,1098,directed
562304,1098,directed
574772,1098,directed
604852,1098,directed
623985,1098,directed
754032,1098,directed
755156,1098,directed
771438,1098,directed
772567,1098,directed
840402,1098,directed
8828,1113,directed
81403,1113,directed
546214,1113,directed
628467,1113,directed
13384,1433,directed
19241,1433,directed
65397,1433,directed
86312,1433,directed
99753,1433,directed
136640,1433,directed
175286,1433,directed
210512,1433,directed
234325,1433,directed
409954,1433,directed
749175,1433,directed
804289,1433,directed
50493,1498,directed
96977,1498,directed
97325,1498,directed
219966,1498,directed
561105,1498,directed
607053,1498,directed
1528006,1589,directed
559405,1611,directed
156886,2252,directed
112017,2273,directed
203804,2273,directed
588679,2273,directed
744548,2273,directed
38936,2330,directed
41874,2330,directed
249175,2330,directed
639397,2330,directed
642542,2330,directed
754032,2330,directed
765585,2330,directed
781837,2330,directed
785283,2330,directed
792507,2330,directed
798543,2330,directed
183867,2411,directed
346336,2411,directed
354105,2411,directed
423829,2411,directed
750519,2411,directed
754032,2411,directed
840102,2411,directed
988440,2411,directed
133969,2578,directed
7689,2750,directed
160690,2750,directed
208774,2750,directed
262255,2750,directed
319347,2750,directed
376204,2750,directed
802302,2750,directed
820434,2750,directed
112462,2867,directed
139026,2867,directed
176936,2867,directed
187478,2867,directed
192382,2867,directed
240865,2867,directed
255371,2867,directed
354105,2867,directed
489303,2867,directed
824599,2867,directed
831381,2867,directed
894465,2867,directed
18977,3170,directed
19297,3170,directed
297894,3170,directed
517607,3226,directed
583618,3226,directed
626463,3226,directed
859509,3226,directed
101895,3426,directed
319347,3426,directed
239859,3595,directed
304458,3595,directed
649950,3595,directed
691807,3595,directed
754032,3595,directed
178014,3627,directed
246768,3627,directed
295276,3627,directed
603590,3627,directed
745584,3627,directed
790988,3627,directed
819344,3627,directed
855773,3627,directed
131627,3669,directed
137580,3669,directed
170369,3669,directed
207735,3669,directed
240311,3669,directed
289177,3669,directed
309458,3669,directed
332141,3669,directed
519637,3669,directed
578028,3669,directed
584923,3669,directed
690254,3669,directed
744265,3669,directed
767068,3669,directed
816890,3669,directed
921965,3669,directed
923384,3669,directed
532957,3829,directed
805930,3829,directed
178014,4358,directed
91650,4451,directed
123007,4451,directed
490141,4451,directed
42234,4458,directed
536122,4553,directed
31380,4852,directed
122754,4852,directed
145443,4852,directed
208774,4852,directed
237205,4852,directed
492331,4852,directed
661524,4852,directed
664817,4852,directed
806336,4852,directed
100160,4955,directed
577627,4955,directed
1190,5307,directed
7689,5307,directed
74195,5307,directed
101946,5307,directed
134600,5307,directed
164053,5307,directed
165011,5307,directed
170770,5307,directed
208774,5307,directed
279337,5307,directed
290072,5307,directed
316834,5307,directed
361393,5307,directed
376204,5307,directed
411761,5307,directed
568861,5307,directed
614823,5307,directed
622805,5307,directed
866491,5307,directed
887806,5307,directed
927555,5307,directed
933172,5307,directed
22124,5441,directed
84209,5441,directed
91650,5441,directed
98465,5441,directed
105422,5441,directed
163386,5441,directed
192382,5441,directed
246611,5441,directed
260206,5441,directed
287259,5441,directed
315403,5441,directed
371258,5441,directed
386253,5441,directed
406294,5441,directed
424244,5441,directed
446509,5441,directed
490952,5441,directed
501407,5441,directed
561715,5441,directed
579839,5441,directed
588450,5441,directed
604852,5441,directed
673208,5441,directed
749970,5441,directed
751910,5441,directed
771438,5441,directed
925852,5441,directed
957085,5441,directed
1098,5501,directed
22124,5501,directed
134729,5501,directed
223627,5501,directed
260206,5501,directed
280956,5501,directed
351733,5501,directed
357406,5501,directed
388198,5501,directed
424244,5501,directed
446509,5501,directed
506513,5501,directed
572737,5501,directed
579839,5501,directed
741746,5501,directed
754032,5501,directed
771438,5501,directed
790820,5501,directed
806829,5501,directed
825251,5501,directed
863790,5501,directed
66915,5882,directed
100160,5882,directed
120521,5882,directed
180228,5882,directed
354105,5882,directed
489303,5882,directed
577627,5882,directed
754032,5882,directed
799053,5882,directed
824022,5882,directed
894465,5882,directed
16835,5953,directed
22928,5953,directed
41874,5953,directed
46120,5953,directed
66915,5953,directed
76057,5953,directed
100160,5953,directed
114342,5953,directed
137474,5953,directed
138699,5953,directed
182598,5953,directed
239859,5953,directed
309458,5953,directed
311674,5953,directed
327765,5953,directed
346336,5953,directed
354105,5953,directed
489303,5953,directed
489676,5953,directed
562304,5953,directed
577627,5953,directed
642542,5953,directed
754032,5953,directed
772567,5953,directed
894465,5953,directed
6334,5980,directed
66915,5980,directed
150629,5980,directed
695189,5980,directed
792507,5980,directed
804476,5980,directed
958533,5980,directed
28692,6143,directed
175553,6143,directed
208404,6143,directed
404463,6143,directed
640675,6143,directed
868092,6143,directed
749222,6232,directed
752945,6232,directed
37730,6310,directed
39258,6310,directed
47789,6310,directed
51992,6310,directed
66915,6310,directed
78741,6310,directed
130173,6310,directed
184043,6310,directed
287917,6310,directed
350840,6310,directed
387530,6310,directed
490554,6310,directed
612716,6310,directed
853492,6310,directed
898479,6310,directed
936425,6310,directed
987491,6310,directed
11707,6320,directed
41874,6320,directed
43714,6320,directed
46925,6320,directed
96964,6320,directed
102399,6320,directed
110161,6320,directed
130689,6320,directed
136871,6320,directed
277351,6320,directed
481461,6320,directed
674662,6320,directed
685647,6320,directed
754032,6320,directed
796734,6320,directed
957296,6320,directed
60306,6334,directed
79016,6334,directed
82584,6334,directed
162677,6334,directed
172642,6334,directed
184502,6334,directed
204901,6334,directed
211758,6334,directed
212612,6334,directed
213590,6334,directed
244406,6334,directed
742899,6334,directed
792507,6334,directed
396372,6563,directed
21334,6568,directed
816701,6568,directed
825168,6568,directed
46861,6613,directed
60679,6613,directed
815039,6613,directed
825208,6613,directed
942252,6855,directed
197424,6860,directed
311680,6860,directed
617613,6860,directed
619388,6860,directed
245039,7031,directed
389979,7031,directed
778568,7031,directed
36537,7230,directed
89021,7230,directed
112462,7230,directed
139026,7230,directed
187478,7230,directed
209142,7230,directed
240865,7230,directed
307135,7230,directed
354105,7230,directed
496405,7230,directed
754032,7230,directed
805785,7230,directed
821571,7230,directed
842351,7230,directed
113480,7305,directed
152312,7305,directed
61479,7448,directed
64145,7448,directed
82013,7448,directed
118544,7448,directed
144458,7448,directed
147200,7448,directed
162820,7448,directed
316834,7448,directed
329468,7448,directed
524239,7448,directed
894335,7448,directed
41420,7689,directed
59819,7689,directed
101953,7689,directed
118289,7689,directed
208774,7689,directed
361393,7689,directed
477875,7689,directed
500889,7689,directed
509356,7689,directed
569256,7689,directed
572106,7689,directed
594665,7689,directed
661524,7689,directed
664849,7689,directed
746666,7689,directed
802302,7689,directed
865016,7689,directed
894847,7689,directed
55128,7729,directed
58616,7729,directed
116984,7729,directed
120521,7729,directed
502806,7729,directed
773642,7729,directed
824022,7729,directed
50251,7731,directed
88180,7731,directed
97325,7731,directed
134729,7731,directed
139026,7731,directed
223627,7731,directed
346336,7731,directed
359326,7731,directed
446509,7731,directed
485135,7731,directed
490952,7731,directed
506513,7731,directed
579839,7731,directed
771438,7731,directed
798606,7731,directed
863790,7731,directed
883318,7731,directed
1098,7920,directed
5953,7920,directed
61938,7920,directed
84209,7920,directed
105422,7920,directed
114342,7920,directed
139026,7920,directed
139908,7920,directed
192382,7920,directed
260206,7920,directed
349157,7920,directed
379125,7920,directed
418740,7920,directed
446509,7920,directed
490004,7920,directed
501407,7920,directed
562304,7920,directed
574772,7920,directed
623985,7920,directed
671953,7920,directed
749970,7920,directed
771438,7920,directed
891063,7920,directed
895136,7920,directed
334740,7974,directed
13393,8125,directed
59655,8125,directed
94224,8125,directed
128099,8125,directed
149973,8125,directed
170454,8125,directed
179764,8125,directed
414251,8125,directed
477377,8125,directed
542976,8125,directed
568861,8125,directed
667169,8125,directed
751738,8125,directed
772526,8125,directed
803242,8125,directed
806542,8125,directed
817011,8125,directed
894531,8125,directed
927555,8125,directed
59293,8245,directed
71336,8245,directed
328352,8245,directed
575051,8245,directed
65590,8549,directed
66915,8549,directed
131627,8549,directed
189678,8549,directed
325459,8549,directed
346336,8549,directed
379125,8549,directed
422405,8549,directed
545726,8549,directed
615119,8549,directed
621944,8549,directed
752314,8549,directed
754032,8549,directed
